   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 13.36060  0.000000  0.000000  0.000000 0.000000     0.019  0.009  0.050  0.062  0.015   0.0   0.0   0.0 0.099     0.055  0.014  0.235  0.210  0.035   0.0   0.0   0.0 0.160    0.993
  2.0 13.26619 -0.058754  0.065667 -0.084796 0.122288     0.016  0.046  0.041  0.028  0.085   0.0   0.0   0.0 0.035     0.074  0.089  0.159  0.172  0.198   0.0   0.0   0.0 0.032    0.996
  3.0 13.28925 -0.117507  0.131334 -0.169591 0.244577     0.105  0.138  0.007  0.019  0.002   0.0   0.0   0.0 0.008     0.194  0.385  0.025  0.033  0.012   0.0   0.0   0.0 0.017    0.992
  4.0 13.26769  0.176261 -0.197001  0.254387 0.366865     0.005  0.026  0.154  0.177  0.002   0.0   0.0   0.0 0.017     0.003  0.026  0.196  0.346  0.000   0.0   0.0   0.0 0.009    0.996
  5.0 13.28925  0.117507 -0.131334  0.169591 0.244577     0.105  0.138  0.007  0.019  0.002   0.0   0.0   0.0 0.008     0.194  0.385  0.025  0.033  0.012   0.0   0.0   0.0 0.017    0.992
  6.0 13.26619  0.058754 -0.065667  0.084796 0.122288     0.016  0.046  0.041  0.028  0.085   0.0   0.0   0.0 0.035     0.074  0.089  0.159  0.172  0.198   0.0   0.0   0.0 0.032    0.996
  7.0 13.20018  0.063119  0.063522 -0.094751 0.130372     0.043  0.048  0.093  0.071  0.065   0.0   0.0   0.0 0.037     0.077  0.119  0.178  0.147  0.079   0.0   0.0   0.0 0.017    0.997
  8.0 13.25924  0.004365  0.129189 -0.179546 0.221237     0.026  0.019  0.039  0.000  0.165   0.0   0.0   0.0 0.006     0.064  0.130  0.097  0.006  0.408   0.0   0.0   0.0 0.012    0.995
  9.0 13.31858 -0.054389  0.194856 -0.264342 0.332872     0.010  0.204  0.034  0.006  0.002   0.0   0.0   0.0 0.023     0.020  0.529  0.065  0.017  0.005   0.0   0.0   0.0 0.036    0.993
 10.0 13.35336  0.239380 -0.133478  0.159636 0.317180     0.052  0.102  0.017  0.027  0.094   0.0   0.0   0.0 0.003     0.095  0.231  0.029  0.066  0.232   0.0   0.0   0.0 0.006    0.992
