   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 15.49405  0.000000  0.000000  0.000000 0.000000     0.033  0.010  0.024  0.056  0.012   0.0   0.0   0.0 0.003     0.114  0.195  0.100  0.381  0.025   0.0   0.0   0.0 0.013    0.997
  2.0 15.66100 -0.058754  0.065667 -0.084796 0.122288     0.032  0.085  0.060  0.069  0.041   0.0   0.0   0.0 0.011     0.088  0.169  0.106  0.174  0.102   0.0   0.0   0.0 0.034    0.995
  3.0 15.69625 -0.117507  0.131334 -0.169591 0.244577     0.033  0.054  0.027  0.052  0.116   0.0   0.0   0.0 0.001     0.089  0.134  0.056  0.131  0.285   0.0   0.0   0.0 0.002    0.992
  4.0 15.64680  0.176261 -0.197001  0.254387 0.366865     0.011  0.019  0.070  0.035  0.063   0.0   0.0   0.0 0.011     0.117  0.077  0.139  0.117  0.270   0.0   0.0   0.0 0.023    0.966
  5.0 15.69625  0.117507 -0.131334  0.169591 0.244577     0.033  0.054  0.027  0.052  0.116   0.0   0.0   0.0 0.001     0.089  0.134  0.056  0.131  0.285   0.0   0.0   0.0 0.002    0.992
  6.0 15.66100  0.058754 -0.065667  0.084796 0.122288     0.032  0.085  0.060  0.069  0.041   0.0   0.0   0.0 0.011     0.088  0.169  0.106  0.174  0.102   0.0   0.0   0.0 0.034    0.995
  7.0 15.58476  0.063119  0.063522 -0.094751 0.130372     0.075  0.011  0.013  0.061  0.063   0.0   0.0   0.0 0.000     0.184  0.088  0.031  0.171  0.262   0.0   0.0   0.0 0.001    0.997
  8.0 15.66907  0.004365  0.129189 -0.179546 0.221237     0.071  0.054  0.055  0.022  0.017   0.0   0.0   0.0 0.003     0.361  0.078  0.120  0.092  0.084   0.0   0.0   0.0 0.006    0.993
  9.0 15.66408 -0.054389  0.194856 -0.264342 0.332872     0.040  0.034  0.076  0.076  0.107   0.0   0.0   0.0 0.000     0.097  0.137  0.069  0.104  0.228   0.0   0.0   0.0 0.007    0.995
 10.0 15.69968  0.239380 -0.133478  0.159636 0.317180     0.017  0.122  0.027  0.036  0.081   0.0   0.0   0.0 0.004     0.063  0.278  0.044  0.070  0.199   0.0   0.0   0.0 0.020    0.992
 11.0 15.75153  0.180626 -0.067812  0.074840 0.206943     0.028  0.020  0.025  0.057  0.164   0.0   0.0   0.0 0.000     0.058  0.036  0.070  0.229  0.289   0.0   0.0   0.0 0.000    0.997
 12.0 15.65645  0.121873 -0.002145 -0.009955 0.122297     0.097  0.020  0.043  0.095  0.016   0.0   0.0   0.0 0.004     0.117  0.115  0.125  0.239  0.082   0.0   0.0   0.0 0.021    0.995
 13.0 15.59357  0.126238  0.127044 -0.189502 0.260744     0.017  0.051  0.035  0.057  0.055   0.0   0.0   0.0 0.000     0.091  0.317  0.080  0.141  0.127   0.0   0.0   0.0 0.003    0.995
 14.0 15.60588  0.067484  0.192711 -0.274297 0.341951     0.049  0.097  0.022  0.042  0.077   0.0   0.0   0.0 0.000     0.251  0.132  0.104  0.078  0.114   0.0   0.0   0.0 0.002    0.993
 15.0 15.62202  0.008730  0.258378 -0.359093 0.442474     0.020  0.111  0.016  0.014  0.038   0.0   0.0   0.0 0.007     0.085  0.252  0.103  0.058  0.217   0.0   0.0   0.0 0.039    0.989
 16.0 15.69504  0.302499 -0.069956  0.064885 0.317190     0.103  0.030  0.023  0.029  0.100   0.0   0.0   0.0 0.005     0.217  0.061  0.085  0.086  0.210   0.0   0.0   0.0 0.020    0.990
 17.0 15.70191  0.243745 -0.004289 -0.019911 0.244595     0.045  0.018  0.044  0.055  0.087   0.0   0.0   0.0 0.001     0.168  0.108  0.057  0.105  0.287   0.0   0.0   0.0 0.000    0.994
 18.0 15.65932  0.184992  0.061378 -0.104706 0.221252     0.029  0.060  0.033  0.080  0.032   0.0   0.0   0.0 0.008     0.091  0.256  0.062  0.211  0.091   0.0   0.0   0.0 0.013    0.993
 19.0 15.67390 -0.189357 -0.190567  0.284253 0.391115     0.083  0.220  0.039  0.024  0.030   0.0   0.0   0.0 0.000     0.122  0.270  0.067  0.082  0.024   0.0   0.0   0.0 0.003    0.996
 20.0 15.60157 -0.248111 -0.124900  0.199457 0.341968     0.046  0.046  0.022  0.021  0.165   0.0   0.0   0.0 0.001     0.050  0.171  0.062  0.087  0.289   0.0   0.0   0.0 0.005    0.993
