   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 11.87191  0.000000  0.000000  0.000000 0.000000     0.005  0.009  0.002  0.012  0.004   0.0   0.0   0.0 0.079     0.013  0.033  0.022  0.041  0.035   0.0   0.0   0.0 0.698    0.997
  2.0 11.77192 -0.058754  0.065667 -0.084796 0.122288     0.000  0.005  0.016  0.001  0.000   0.0   0.0   0.0 0.101     0.012  0.016  0.055  0.008  0.002   0.0   0.0   0.0 0.713    0.998
  3.0 11.67931 -0.117507  0.131334 -0.169591 0.244577     0.000  0.000  0.010  0.001  0.000   0.0   0.0   0.0 0.090     0.018  0.002  0.031  0.011  0.000   0.0   0.0   0.0 0.768    0.998
  4.0 11.64712  0.176261 -0.197001  0.254387 0.366865     0.000  0.000  0.007  0.002  0.000   0.0   0.0   0.0 0.082     0.017  0.001  0.025  0.014  0.000   0.0   0.0   0.0 0.792    0.998
  5.0 11.67931  0.117507 -0.131334  0.169591 0.244577     0.000  0.000  0.010  0.001  0.000   0.0   0.0   0.0 0.090     0.018  0.002  0.031  0.011  0.000   0.0   0.0   0.0 0.768    0.998
  6.0 11.77192  0.058754 -0.065667  0.084796 0.122288     0.000  0.005  0.016  0.001  0.000   0.0   0.0   0.0 0.101     0.012  0.016  0.055  0.008  0.002   0.0   0.0   0.0 0.713    0.998
  7.0 11.69312  0.063119  0.063522 -0.094751 0.130372     0.000  0.004  0.009  0.004  0.001   0.0   0.0   0.0 0.097     0.006  0.010  0.027  0.020  0.013   0.0   0.0   0.0 0.728    0.998
  8.0 11.48003  0.004365  0.129189 -0.179546 0.221237     0.000  0.000  0.000  0.000  0.000   0.0   0.0   0.0 0.145     0.001  0.000  0.003  0.021  0.004   0.0   0.0   0.0 0.747    0.998
  9.0 11.35402 -0.054389  0.194856 -0.264342 0.332872     0.000  0.000  0.000  0.000  0.000   0.0   0.0   0.0 0.169     0.000  0.000  0.002  0.004  0.000   0.0   0.0   0.0 0.744    0.998
 10.0 11.31970  0.239380 -0.133478  0.159636 0.317180     0.000  0.000  0.001  0.000  0.000   0.0   0.0   0.0 0.192     0.000  0.000  0.005  0.000  0.000   0.0   0.0   0.0 0.723    0.998
 11.0 11.45155  0.180626 -0.067812  0.074840 0.206943     0.000  0.000  0.003  0.000  0.000   0.0   0.0   0.0 0.214     0.000  0.003  0.006  0.001  0.002   0.0   0.0   0.0 0.683    0.998
