   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 16.86554  0.000000  0.000000  0.000000 0.000000     0.022  0.062  0.027  0.015  0.019   0.0   0.0   0.0 0.000     0.103  0.317  0.205  0.092  0.132   0.0   0.0   0.0 0.000    0.999
  2.0 16.80864 -0.058754  0.065667 -0.084796 0.122288     0.025  0.057  0.018  0.010  0.013   0.0   0.0   0.0 0.000     0.121  0.339  0.185  0.079  0.135   0.0   0.0   0.0 0.001    0.998
  3.0 17.19202 -0.117507  0.131334 -0.169591 0.244577     0.017  0.000  0.002  0.002  0.076   0.0   0.0   0.0 0.053     0.061  0.002  0.045  0.047  0.394   0.0   0.0   0.0 0.241    0.967
  4.0 17.12055  0.176261 -0.197001  0.254387 0.366865     0.016  0.018  0.014  0.000  0.103   0.0   0.0   0.0 0.088     0.034  0.027  0.085  0.000  0.255   0.0   0.0   0.0 0.293    0.961
  5.0 17.19202  0.117507 -0.131334  0.169591 0.244577     0.017  0.000  0.002  0.002  0.076   0.0   0.0   0.0 0.053     0.061  0.002  0.045  0.047  0.394   0.0   0.0   0.0 0.241    0.967
  6.0 16.80864  0.058754 -0.065667  0.084796 0.122288     0.025  0.057  0.018  0.010  0.013   0.0   0.0   0.0 0.000     0.121  0.339  0.185  0.079  0.135   0.0   0.0   0.0 0.001    0.998
  7.0 16.77149  0.063119  0.063522 -0.094751 0.130372     0.000  0.005  0.028  0.016  0.020   0.0   0.0   0.0 0.000     0.010  0.014  0.358  0.210  0.295   0.0   0.0   0.0 0.003    0.998
  8.0 16.99724  0.004365  0.129189 -0.179546 0.221237     0.030  0.015  0.009  0.000  0.019   0.0   0.0   0.0 0.078     0.201  0.122  0.115  0.001  0.069   0.0   0.0   0.0 0.290    0.966
  9.0 17.05337 -0.054389  0.194856 -0.264342 0.332872     0.002  0.013  0.008  0.000  0.074   0.0   0.0   0.0 0.098     0.022  0.050  0.094  0.000  0.262   0.0   0.0   0.0 0.315    0.955
 10.0 16.90054  0.239380 -0.133478  0.159636 0.317180     0.016  0.000  0.002  0.024  0.001   0.0   0.0   0.0 0.093     0.092  0.009  0.065  0.210  0.027   0.0   0.0   0.0 0.375    0.949
 11.0 16.84078  0.180626 -0.067812  0.074840 0.206943     0.027  0.072  0.012  0.001  0.009   0.0   0.0   0.0 0.000     0.140  0.423  0.119  0.052  0.110   0.0   0.0   0.0 0.008    0.998
 12.0 16.80686  0.121873 -0.002145 -0.009955 0.122297     0.019  0.063  0.019  0.005  0.018   0.0   0.0   0.0 0.000     0.118  0.386  0.164  0.075  0.117   0.0   0.0   0.0 0.000    0.998
 13.0 16.90632  0.126238  0.127044 -0.189502 0.260744     0.004  0.005  0.025  0.000  0.036   0.0   0.0   0.0 0.086     0.050  0.093  0.166  0.003  0.205   0.0   0.0   0.0 0.262    0.970
 14.0 16.99549  0.067484  0.192711 -0.274297 0.341951     0.000  0.005  0.001  0.000  0.047   0.0   0.0   0.0 0.119     0.001  0.059  0.082  0.015  0.186   0.0   0.0   0.0 0.384    0.934
 15.0 16.83422  0.008730  0.258378 -0.359093 0.442474     0.000  0.006  0.021  0.018  0.023   0.0   0.0   0.0 0.022     0.039  0.029  0.307  0.196  0.254   0.0   0.0   0.0 0.062    0.994
 16.0 16.89969  0.302499 -0.069956  0.064885 0.317190     0.000  0.013  0.000  0.014  0.012   0.0   0.0   0.0 0.089     0.000  0.081  0.061  0.201  0.058   0.0   0.0   0.0 0.385    0.948
 17.0 17.19597  0.243745 -0.004289 -0.019911 0.244595     0.001  0.006  0.056  0.032  0.000   0.0   0.0   0.0 0.055     0.020  0.019  0.346  0.155  0.000   0.0   0.0   0.0 0.243    0.966
 18.0 17.00596  0.184992  0.061378 -0.104706 0.221252     0.000  0.042  0.005  0.000  0.016   0.0   0.0   0.0 0.092     0.000  0.327  0.037  0.015  0.113   0.0   0.0   0.0 0.294    0.965
 19.0 17.21183 -0.189357 -0.190567  0.284253 0.391115     0.004  0.000  0.000  0.001  0.009   0.0   0.0   0.0 0.081     0.019  0.006  0.000  0.055  0.044   0.0   0.0   0.0 0.607    0.861
 20.0 16.98591 -0.248111 -0.124900  0.199457 0.341968     0.006  0.000  0.022  0.023  0.011   0.0   0.0   0.0 0.098     0.021  0.017  0.093  0.183  0.021   0.0   0.0   0.0 0.405    0.933
 21.0 17.05938 -0.306864 -0.059233  0.114662 0.332899     0.000  0.005  0.037  0.038  0.001   0.0   0.0   0.0 0.083     0.000  0.041  0.149  0.244  0.002   0.0   0.0   0.0 0.320    0.956
 22.0 17.15906 -0.013096 -0.387567  0.538639 0.663711     0.000  0.019  0.049  0.049  0.001   0.0   0.0   0.0 0.095     0.000  0.046  0.150  0.247  0.003   0.0   0.0   0.0 0.280    0.963
 23.0 17.05938 -0.071849 -0.321900  0.453844 0.561032     0.000  0.005  0.037  0.038  0.001   0.0   0.0   0.0 0.083     0.000  0.041  0.149  0.244  0.002   0.0   0.0   0.0 0.320    0.956
 24.0 16.98591 -0.130603 -0.256234  0.369048 0.467878     0.006  0.000  0.022  0.023  0.011   0.0   0.0   0.0 0.098     0.021  0.017  0.093  0.183  0.021   0.0   0.0   0.0 0.405    0.933
 25.0 16.90632 -0.126238 -0.127044  0.189502 0.260744     0.004  0.005  0.025  0.000  0.036   0.0   0.0   0.0 0.086     0.050  0.093  0.166  0.003  0.205   0.0   0.0   0.0 0.262    0.970
 26.0 17.00596 -0.184992 -0.061378  0.104706 0.221252     0.000  0.042  0.005  0.000  0.016   0.0   0.0   0.0 0.092     0.000  0.327  0.037  0.015  0.113   0.0   0.0   0.0 0.294    0.965
 27.0 17.19597 -0.243745  0.004289  0.019911 0.244595     0.001  0.006  0.056  0.032  0.000   0.0   0.0   0.0 0.055     0.020  0.019  0.346  0.155  0.000   0.0   0.0   0.0 0.243    0.966
 28.0 16.89969  0.050023 -0.324045  0.443889 0.551856     0.000  0.013  0.000  0.014  0.012   0.0   0.0   0.0 0.089     0.000  0.081  0.061  0.201  0.058   0.0   0.0   0.0 0.385    0.948
 29.0 16.83422 -0.008730 -0.258378  0.359093 0.442474     0.000  0.006  0.021  0.018  0.023   0.0   0.0   0.0 0.022     0.039  0.029  0.307  0.196  0.254   0.0   0.0   0.0 0.062    0.994
 30.0 16.99549 -0.067484 -0.192711  0.274297 0.341951     0.000  0.005  0.001  0.000  0.047   0.0   0.0   0.0 0.119     0.001  0.059  0.082  0.015  0.186   0.0   0.0   0.0 0.384    0.934
