   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 16.37935  0.000000  0.000000  0.000000 0.000000     0.019  0.060  0.018  0.011  0.009   0.0   0.0   0.0 0.000     0.198  0.339  0.117  0.073  0.130   0.0   0.0   0.0 0.000    0.997
  2.0 16.35505 -0.058754  0.065667 -0.084796 0.122288     0.020  0.052  0.051  0.002  0.015   0.0   0.0   0.0 0.000     0.137  0.220  0.170  0.171  0.121   0.0   0.0   0.0 0.002    0.990
  3.0 16.31971 -0.117507  0.131334 -0.169591 0.244577     0.009  0.024  0.047  0.022  0.024   0.0   0.0   0.0 0.001     0.060  0.180  0.143  0.349  0.091   0.0   0.0   0.0 0.017    0.993
  4.0 16.31814  0.176261 -0.197001  0.254387 0.366865     0.036  0.012  0.047  0.008  0.021   0.0   0.0   0.0 0.004     0.114  0.116  0.232  0.266  0.093   0.0   0.0   0.0 0.001    0.995
  5.0 16.31971  0.117507 -0.131334  0.169591 0.244577     0.009  0.024  0.047  0.022  0.024   0.0   0.0   0.0 0.001     0.060  0.180  0.143  0.349  0.091   0.0   0.0   0.0 0.017    0.993
  6.0 16.35505  0.058754 -0.065667  0.084796 0.122288     0.020  0.052  0.051  0.002  0.015   0.0   0.0   0.0 0.000     0.137  0.220  0.170  0.171  0.121   0.0   0.0   0.0 0.002    0.990
  7.0 16.40508  0.063119  0.063522 -0.094751 0.130372     0.027  0.034  0.049  0.015  0.043   0.0   0.0   0.0 0.001     0.215  0.072  0.193  0.123  0.188   0.0   0.0   0.0 0.001    0.991
  8.0 16.37518  0.004365  0.129189 -0.179546 0.221237     0.050  0.041  0.017  0.022  0.028   0.0   0.0   0.0 0.006     0.234  0.235  0.046  0.064  0.223   0.0   0.0   0.0 0.009    0.993
  9.0 16.35144 -0.054389  0.194856 -0.264342 0.332872     0.015  0.023  0.011  0.066  0.012   0.0   0.0   0.0 0.005     0.097  0.124  0.096  0.354  0.118   0.0   0.0   0.0 0.049    0.994
 10.0 16.36260  0.239380 -0.133478  0.159636 0.317180     0.007  0.053  0.031  0.030  0.028   0.0   0.0   0.0 0.000     0.089  0.231  0.141  0.185  0.172   0.0   0.0   0.0 0.012    0.994
 11.0 16.32142  0.180626 -0.067812  0.074840 0.206943     0.007  0.032  0.031  0.043  0.025   0.0   0.0   0.0 0.000     0.089  0.207  0.153  0.301  0.086   0.0   0.0   0.0 0.000    0.995
 12.0 16.34607  0.121873 -0.002145 -0.009955 0.122297     0.037  0.043  0.037  0.033  0.036   0.0   0.0   0.0 0.000     0.227  0.162  0.143  0.095  0.152   0.0   0.0   0.0 0.002    0.989
 13.0 16.35989  0.126238  0.127044 -0.189502 0.260744     0.048  0.065  0.017  0.037  0.011   0.0   0.0   0.0 0.006     0.302  0.302  0.054  0.071  0.037   0.0   0.0   0.0 0.016    0.996
 14.0 16.35830  0.067484  0.192711 -0.274297 0.341951     0.022  0.028  0.050  0.125  0.027   0.0   0.0   0.0 0.000     0.147  0.124  0.157  0.180  0.111   0.0   0.0   0.0 0.000    0.996
 15.0 16.35009  0.008730  0.258378 -0.359093 0.442474     0.071  0.043  0.026  0.014  0.018   0.0   0.0   0.0 0.003     0.359  0.101  0.071  0.077  0.159   0.0   0.0   0.0 0.014    0.991
 16.0 16.36527  0.302499 -0.069956  0.064885 0.317190     0.018  0.015  0.049  0.020  0.031   0.0   0.0   0.0 0.000     0.275  0.108  0.109  0.147  0.187   0.0   0.0   0.0 0.008    0.995
 17.0 16.32617  0.243745 -0.004289 -0.019911 0.244595     0.035  0.026  0.026  0.032  0.015   0.0   0.0   0.0 0.006     0.195  0.094  0.170  0.276  0.072   0.0   0.0   0.0 0.025    0.994
