   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 16.07842  0.000000  0.000000  0.000000 0.000000     0.061  0.012  0.086  0.093  0.095   0.0   0.0   0.0 0.000     0.081  0.025  0.174  0.188  0.129   0.0   0.0   0.0 0.025    0.995
  2.0 15.98557 -0.058754  0.065667 -0.084796 0.122288     0.031  0.152  0.037  0.086  0.015   0.0   0.0   0.0 0.002     0.078  0.361  0.035  0.088  0.073   0.0   0.0   0.0 0.002    0.995
  3.0 15.96937 -0.117507  0.131334 -0.169591 0.244577     0.033  0.074  0.083  0.058  0.039   0.0   0.0   0.0 0.001     0.117  0.169  0.089  0.139  0.156   0.0   0.0   0.0 0.004    0.991
  4.0 15.95859  0.176261 -0.197001  0.254387 0.366865     0.038  0.095  0.098  0.064  0.039   0.0   0.0   0.0 0.010     0.107  0.188  0.115  0.100  0.102   0.0   0.0   0.0 0.013    0.994
  5.0 15.96937  0.117507 -0.131334  0.169591 0.244577     0.033  0.074  0.083  0.058  0.039   0.0   0.0   0.0 0.001     0.117  0.169  0.089  0.139  0.156   0.0   0.0   0.0 0.004    0.991
  6.0 15.98557  0.058754 -0.065667  0.084796 0.122288     0.031  0.152  0.037  0.086  0.015   0.0   0.0   0.0 0.002     0.078  0.361  0.035  0.088  0.073   0.0   0.0   0.0 0.002    0.995
  7.0 15.92830  0.063119  0.063522 -0.094751 0.130372     0.014  0.000  0.022  0.064  0.118   0.0   0.0   0.0 0.000     0.028  0.013  0.099  0.234  0.375   0.0   0.0   0.0 0.004    0.998
  8.0 15.94845  0.004365  0.129189 -0.179546 0.221237     0.063  0.061  0.027  0.011  0.019   0.0   0.0   0.0 0.000     0.245  0.216  0.111  0.024  0.183   0.0   0.0   0.0 0.001    0.987
  9.0 15.92661 -0.054389  0.194856 -0.264342 0.332872     0.026  0.026  0.107  0.120  0.006   0.0   0.0   0.0 0.001     0.097  0.079  0.222  0.155  0.125   0.0   0.0   0.0 0.004    0.995
 10.0 15.92876  0.239380 -0.133478  0.159636 0.317180     0.047  0.053  0.024  0.017  0.014   0.0   0.0   0.0 0.020     0.210  0.322  0.094  0.050  0.089   0.0   0.0   0.0 0.023    0.992
