   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 13.79459  0.000000  0.000000  0.000000 0.000000     0.042  0.038  0.100  0.052  0.055   0.0   0.0   0.0 0.000     0.046  0.155  0.227  0.114  0.151   0.0   0.0   0.0 0.000    0.991
  2.0 13.84780 -0.058754  0.065667 -0.084796 0.122288     0.037  0.110  0.014  0.124  0.031   0.0   0.0   0.0 0.004     0.066  0.181  0.041  0.294  0.060   0.0   0.0   0.0 0.004    0.992
  3.0 13.91989 -0.117507  0.131334 -0.169591 0.244577     0.027  0.006  0.199  0.030  0.006   0.0   0.0   0.0 0.033     0.044  0.031  0.413  0.072  0.030   0.0   0.0   0.0 0.075    0.989
  4.0 13.98890  0.176261 -0.197001  0.254387 0.366865     0.131  0.000  0.034  0.083  0.003   0.0   0.0   0.0 0.000     0.397  0.002  0.097  0.207  0.009   0.0   0.0   0.0 0.000    0.996
  5.0 13.91989  0.117507 -0.131334  0.169591 0.244577     0.027  0.006  0.199  0.030  0.006   0.0   0.0   0.0 0.033     0.044  0.031  0.413  0.072  0.030   0.0   0.0   0.0 0.075    0.989
  6.0 13.84780  0.058754 -0.065667  0.084796 0.122288     0.037  0.110  0.014  0.124  0.031   0.0   0.0   0.0 0.004     0.066  0.181  0.041  0.294  0.060   0.0   0.0   0.0 0.004    0.992
  7.0 13.84913  0.063119  0.063522 -0.094751 0.130372     0.089  0.229  0.008  0.005  0.003   0.0   0.0   0.0 0.009     0.172  0.384  0.012  0.014  0.007   0.0   0.0   0.0 0.023    0.996
  8.0 13.93642  0.004365  0.129189 -0.179546 0.221237     0.089  0.017  0.040  0.101  0.024   0.0   0.0   0.0 0.022     0.173  0.090  0.099  0.206  0.065   0.0   0.0   0.0 0.058    0.993
  9.0 13.97126 -0.054389  0.194856 -0.264342 0.332872     0.166  0.000  0.027  0.068  0.037   0.0   0.0   0.0 0.000     0.384  0.000  0.059  0.145  0.102   0.0   0.0   0.0 0.000    0.995
 10.0 13.95209  0.239380 -0.133478  0.159636 0.317180     0.005  0.030  0.026  0.049  0.164   0.0   0.0   0.0 0.014     0.008  0.063  0.077  0.144  0.350   0.0   0.0   0.0 0.041    0.980
 11.0 13.92891  0.180626 -0.067812  0.074840 0.206943     0.039  0.049  0.034  0.016  0.127   0.0   0.0   0.0 0.000     0.151  0.111  0.084  0.020  0.342   0.0   0.0   0.0 0.000    0.995
 12.0 13.85047  0.121873 -0.002145 -0.009955 0.122297     0.042  0.109  0.115  0.013  0.050   0.0   0.0   0.0 0.006     0.065  0.168  0.266  0.021  0.105   0.0   0.0   0.0 0.005    0.992
 13.0 13.99841  0.126238  0.127044 -0.189502 0.260744     0.004  0.019  0.012  0.102  0.103   0.0   0.0   0.0 0.000     0.003  0.015  0.027  0.333  0.315   0.0   0.0   0.0 0.003    0.991
 14.0 13.95558  0.067484  0.192711 -0.274297 0.341951     0.025  0.171  0.072  0.006  0.038   0.0   0.0   0.0 0.000     0.094  0.341  0.138  0.029  0.068   0.0   0.0   0.0 0.000    0.996
 15.0 13.91489  0.008730  0.258378 -0.359093 0.442474     0.028  0.019  0.078  0.092  0.011   0.0   0.0   0.0 0.021     0.038  0.031  0.183  0.384  0.034   0.0   0.0   0.0 0.055    0.989
 16.0 13.95260  0.302499 -0.069956  0.064885 0.317190     0.022  0.023  0.189  0.045  0.002   0.0   0.0   0.0 0.016     0.023  0.047  0.438  0.095  0.017   0.0   0.0   0.0 0.038    0.980
 17.0 13.92533  0.243745 -0.004289 -0.019911 0.244595     0.002  0.017  0.030  0.123  0.109   0.0   0.0   0.0 0.038     0.004  0.068  0.096  0.172  0.236   0.0   0.0   0.0 0.074    0.989
 18.0 13.93624  0.184992  0.061378 -0.104706 0.221252     0.003  0.089  0.114  0.053  0.001   0.0   0.0   0.0 0.022     0.005  0.228  0.255  0.131  0.000   0.0   0.0   0.0 0.060    0.993
 19.0 14.08467 -0.189357 -0.190567  0.284253 0.391115     0.019  0.022  0.097  0.044  0.069   0.0   0.0   0.0 0.016     0.026  0.023  0.289  0.179  0.096   0.0   0.0   0.0 0.081    0.989
 20.0 13.95518 -0.248111 -0.124900  0.199457 0.341968     0.197  0.005  0.017  0.007  0.068   0.0   0.0   0.0 0.000     0.466  0.001  0.025  0.009  0.176   0.0   0.0   0.0 0.000    0.996
 21.0 13.96906 -0.306864 -0.059233  0.114662 0.332899     0.037  0.104  0.099  0.026  0.025   0.0   0.0   0.0 0.000     0.072  0.256  0.247  0.063  0.056   0.0   0.0   0.0 0.000    0.995
 22.0 13.98980 -0.013096 -0.387567  0.538639 0.663711     0.032  0.108  0.076  0.046  0.000   0.0   0.0   0.0 0.000     0.071  0.346  0.170  0.115  0.002   0.0   0.0   0.0 0.000    0.996
 23.0 13.96906 -0.071849 -0.321900  0.453844 0.561032     0.037  0.104  0.099  0.026  0.025   0.0   0.0   0.0 0.000     0.072  0.256  0.247  0.063  0.056   0.0   0.0   0.0 0.000    0.995
 24.0 13.95518 -0.130603 -0.256234  0.369048 0.467878     0.197  0.005  0.017  0.007  0.068   0.0   0.0   0.0 0.000     0.466  0.001  0.025  0.009  0.176   0.0   0.0   0.0 0.000    0.996
 25.0 13.99841 -0.126238 -0.127044  0.189502 0.260744     0.004  0.019  0.012  0.102  0.103   0.0   0.0   0.0 0.000     0.003  0.015  0.027  0.333  0.315   0.0   0.0   0.0 0.003    0.991
