   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 15.03370  0.000000  0.000000  0.000000 0.000000     0.000  0.000  0.000  0.000  0.000   0.0   0.0   0.0 0.000     0.282  0.119  0.107  0.046  0.430   0.0   0.0   0.0 0.000    0.998
  2.0 15.02879 -0.058754  0.065667 -0.084796 0.122288     0.071  0.003  0.026  0.055  0.063   0.0   0.0   0.0 0.038     0.143  0.013  0.075  0.265  0.139   0.0   0.0   0.0 0.083    0.995
  3.0 14.99201 -0.117507  0.131334 -0.169591 0.244577     0.157  0.054  0.019  0.066  0.040   0.0   0.0   0.0 0.003     0.188  0.150  0.055  0.083  0.142   0.0   0.0   0.0 0.015    0.993
  4.0 15.14314  0.176261 -0.197001  0.254387 0.366865     0.023  0.087  0.122  0.140  0.112   0.0   0.0   0.0 0.002     0.027  0.052  0.126  0.124  0.140   0.0   0.0   0.0 0.013    0.988
  5.0 14.99201  0.117507 -0.131334  0.169591 0.244577     0.157  0.054  0.019  0.066  0.040   0.0   0.0   0.0 0.003     0.188  0.150  0.055  0.083  0.142   0.0   0.0   0.0 0.015    0.993
  6.0 15.02879  0.058754 -0.065667  0.084796 0.122288     0.071  0.003  0.026  0.055  0.063   0.0   0.0   0.0 0.038     0.143  0.013  0.075  0.265  0.139   0.0   0.0   0.0 0.083    0.995
  7.0 15.00819  0.063119  0.063522 -0.094751 0.130372     0.075  0.174  0.009  0.012  0.008   0.0   0.0   0.0 0.000     0.158  0.454  0.031  0.035  0.017   0.0   0.0   0.0 0.000    0.998
  8.0 14.97130  0.004365  0.129189 -0.179546 0.221237     0.053  0.038  0.034  0.018  0.078   0.0   0.0   0.0 0.000     0.158  0.113  0.098  0.036  0.341   0.0   0.0   0.0 0.001    0.994
  9.0 15.08720 -0.054389  0.194856 -0.264342 0.332872     0.029  0.092  0.004  0.040  0.056   0.0   0.0   0.0 0.010     0.035  0.491  0.019  0.053  0.061   0.0   0.0   0.0 0.024    0.942
 10.0 15.01000  0.239380 -0.133478  0.159636 0.317180     0.039  0.066  0.040  0.036  0.025   0.0   0.0   0.0 0.025     0.061  0.287  0.131  0.117  0.106   0.0   0.0   0.0 0.028    0.976
 11.0 14.99241  0.180626 -0.067812  0.074840 0.206943     0.018  0.012  0.039  0.077  0.151   0.0   0.0   0.0 0.001     0.052  0.066  0.136  0.134  0.282   0.0   0.0   0.0 0.000    0.988
 12.0 15.02730  0.121873 -0.002145 -0.009955 0.122297     0.051  0.083  0.035  0.038  0.050   0.0   0.0   0.0 0.026     0.075  0.147  0.109  0.140  0.176   0.0   0.0   0.0 0.053    0.995
 13.0 15.01253  0.126238  0.127044 -0.189502 0.260744     0.044  0.009  0.019  0.086  0.061   0.0   0.0   0.0 0.036     0.120  0.061  0.085  0.260  0.125   0.0   0.0   0.0 0.077    0.993
 14.0 15.02571  0.067484  0.192711 -0.274297 0.341951     0.073  0.066  0.055  0.046  0.145   0.0   0.0   0.0 0.000     0.128  0.180  0.126  0.040  0.114   0.0   0.0   0.0 0.002    0.994
 15.0 15.08060  0.008730  0.258378 -0.359093 0.442474     0.222  0.051  0.026  0.021  0.030   0.0   0.0   0.0 0.000     0.291  0.075  0.102  0.057  0.084   0.0   0.0   0.0 0.001    0.988
 16.0 15.01155  0.302499 -0.069956  0.064885 0.317190     0.069  0.008  0.026  0.013  0.081   0.0   0.0   0.0 0.028     0.210  0.080  0.162  0.039  0.202   0.0   0.0   0.0 0.037    0.975
