   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 17.76860  0.000000  0.000000  0.000000 0.000000     0.016  0.028  0.018  0.000  0.013   0.0   0.0   0.0 0.117     0.090  0.194  0.043  0.001  0.046   0.0   0.0   0.0 0.342    0.941
  2.0 17.87707 -0.058754  0.065667 -0.084796 0.122288     0.025  0.022  0.017  0.001  0.006   0.0   0.0   0.0 0.090     0.134  0.102  0.083  0.000  0.035   0.0   0.0   0.0 0.378    0.912
  3.0 17.47066 -0.117507  0.131334 -0.169591 0.244577     0.027  0.012  0.011  0.010  0.001   0.0   0.0   0.0 0.164     0.164  0.045  0.137  0.064  0.021   0.0   0.0   0.0 0.275    0.954
  4.0 17.40576  0.176261 -0.197001  0.254387 0.366865     0.021  0.001  0.000  0.004  0.002   0.0   0.0   0.0 0.104     0.253  0.068  0.010  0.053  0.027   0.0   0.0   0.0 0.373    0.942
  5.0 17.47066  0.117507 -0.131334  0.169591 0.244577     0.027  0.012  0.011  0.010  0.001   0.0   0.0   0.0 0.164     0.164  0.045  0.137  0.064  0.021   0.0   0.0   0.0 0.275    0.954
  6.0 17.87707  0.058754 -0.065667  0.084796 0.122288     0.025  0.022  0.017  0.001  0.006   0.0   0.0   0.0 0.090     0.134  0.102  0.083  0.000  0.035   0.0   0.0   0.0 0.378    0.912
  7.0 18.13859  0.063119  0.063522 -0.094751 0.130372     0.008  0.000  0.006  0.000  0.008   0.0   0.0   0.0 0.031     0.019  0.001  0.021  0.000  0.025   0.0   0.0   0.0 0.077    0.212
  8.0 17.99076  0.004365  0.129189 -0.179546 0.221237     0.000  0.012  0.011  0.000  0.040   0.0   0.0   0.0 0.040     0.006  0.025  0.068  0.000  0.112   0.0   0.0   0.0 0.299    0.643
  9.0 17.57157 -0.054389  0.194856 -0.264342 0.332872     0.000  0.000  0.043  0.002  0.000   0.0   0.0   0.0 0.112     0.002  0.000  0.326  0.057  0.017   0.0   0.0   0.0 0.338    0.941
 10.0 17.64005  0.239380 -0.133478  0.159636 0.317180     0.028  0.001  0.048  0.000  0.055   0.0   0.0   0.0 0.153     0.070  0.006  0.115  0.001  0.159   0.0   0.0   0.0 0.264    0.934
 11.0 17.60830  0.180626 -0.067812  0.074840 0.206943     0.007  0.021  0.012  0.000  0.014   0.0   0.0   0.0 0.065     0.020  0.073  0.125  0.001  0.154   0.0   0.0   0.0 0.376    0.912
 12.0 17.88118  0.121873 -0.002145 -0.009955 0.122297     0.000  0.044  0.009  0.000  0.016   0.0   0.0   0.0 0.096     0.000  0.215  0.035  0.005  0.091   0.0   0.0   0.0 0.370    0.914
 13.0 18.11046  0.126238  0.127044 -0.189502 0.260744     0.002  0.008  0.031  0.019  0.035   0.0   0.0   0.0 0.029     0.018  0.017  0.102  0.090  0.117   0.0   0.0   0.0 0.416    0.906
 14.0 17.61228  0.067484  0.192711 -0.274297 0.341951     0.010  0.000  0.010  0.000  0.072   0.0   0.0   0.0 0.063     0.049  0.000  0.066  0.001  0.359   0.0   0.0   0.0 0.295    0.954
 15.0 17.81513  0.008730  0.258378 -0.359093 0.442474     0.008  0.007  0.024  0.004  0.022   0.0   0.0   0.0 0.015     0.035  0.019  0.096  0.046  0.115   0.0   0.0   0.0 0.451    0.876
 16.0 17.64847  0.302499 -0.069956  0.064885 0.317190     0.013  0.016  0.039  0.000  0.055   0.0   0.0   0.0 0.140     0.025  0.065  0.114  0.001  0.155   0.0   0.0   0.0 0.271    0.934
 17.0 17.45776  0.243745 -0.004289 -0.019911 0.244595     0.000  0.021  0.010  0.015  0.014   0.0   0.0   0.0 0.119     0.000  0.121  0.103  0.137  0.104   0.0   0.0   0.0 0.296    0.954
 18.0 18.00949  0.184992  0.061378 -0.104706 0.221252     0.007  0.000  0.027  0.004  0.014   0.0   0.0   0.0 0.050     0.017  0.003  0.076  0.044  0.059   0.0   0.0   0.0 0.269    0.607
 19.0 17.51003 -0.189357 -0.190567  0.284253 0.391115     0.003  0.005  0.030  0.026  0.040   0.0   0.0   0.0 0.073     0.025  0.020  0.159  0.133  0.164   0.0   0.0   0.0 0.261    0.966
 20.0 17.60959 -0.248111 -0.124900  0.199457 0.341968     0.000  0.005  0.056  0.037  0.000   0.0   0.0   0.0 0.058     0.000  0.029  0.237  0.207  0.000   0.0   0.0   0.0 0.298    0.954
 21.0 17.56165 -0.306864 -0.059233  0.114662 0.332899     0.000  0.000  0.007  0.037  0.010   0.0   0.0   0.0 0.097     0.004  0.003  0.040  0.289  0.074   0.0   0.0   0.0 0.345    0.940
 22.0 17.38366 -0.013096 -0.387567  0.538639 0.663711     0.000  0.027  0.001  0.002  0.003   0.0   0.0   0.0 0.063     0.000  0.306  0.020  0.019  0.065   0.0   0.0   0.0 0.406    0.940
 23.0 17.56165 -0.071849 -0.321900  0.453844 0.561032     0.000  0.000  0.007  0.037  0.010   0.0   0.0   0.0 0.097     0.004  0.003  0.040  0.289  0.074   0.0   0.0   0.0 0.345    0.940
 24.0 17.60959 -0.130603 -0.256234  0.369048 0.467878     0.000  0.005  0.056  0.037  0.000   0.0   0.0   0.0 0.058     0.000  0.029  0.237  0.207  0.000   0.0   0.0   0.0 0.298    0.954
 25.0 18.11046 -0.126238 -0.127044  0.189502 0.260744     0.002  0.008  0.031  0.019  0.035   0.0   0.0   0.0 0.029     0.018  0.017  0.102  0.090  0.117   0.0   0.0   0.0 0.416    0.906
 26.0 18.00949 -0.184992 -0.061378  0.104706 0.221252     0.007  0.000  0.027  0.004  0.014   0.0   0.0   0.0 0.050     0.017  0.003  0.076  0.044  0.059   0.0   0.0   0.0 0.269    0.607
 27.0 17.45776 -0.243745  0.004289  0.019911 0.244595     0.000  0.021  0.010  0.015  0.014   0.0   0.0   0.0 0.119     0.000  0.121  0.103  0.137  0.104   0.0   0.0   0.0 0.296    0.954
 28.0 17.64847  0.050023 -0.324045  0.443889 0.551856     0.013  0.016  0.039  0.000  0.055   0.0   0.0   0.0 0.140     0.025  0.065  0.114  0.001  0.155   0.0   0.0   0.0 0.271    0.934
 29.0 17.81513 -0.008730 -0.258378  0.359093 0.442474     0.008  0.007  0.024  0.004  0.022   0.0   0.0   0.0 0.015     0.035  0.019  0.096  0.046  0.115   0.0   0.0   0.0 0.451    0.876
 30.0 17.61228 -0.067484 -0.192711  0.274297 0.341951     0.010  0.000  0.010  0.000  0.072   0.0   0.0   0.0 0.063     0.049  0.000  0.066  0.001  0.359   0.0   0.0   0.0 0.295    0.954
 31.0 18.13859 -0.063119 -0.063522  0.094751 0.130372     0.008  0.000  0.006  0.000  0.008   0.0   0.0   0.0 0.031     0.019  0.001  0.021  0.000  0.025   0.0   0.0   0.0 0.077    0.212
 32.0 17.88118 -0.121873  0.002145  0.009955 0.122297     0.000  0.044  0.009  0.000  0.016   0.0   0.0   0.0 0.096     0.000  0.215  0.035  0.005  0.091   0.0   0.0   0.0 0.370    0.914
 33.0 17.60830 -0.180626  0.067812 -0.074840 0.206943     0.007  0.021  0.012  0.000  0.014   0.0   0.0   0.0 0.065     0.020  0.073  0.125  0.001  0.154   0.0   0.0   0.0 0.376    0.912
 34.0 17.64005  0.113142 -0.260523  0.349138 0.450078     0.028  0.001  0.048  0.000  0.055   0.0   0.0   0.0 0.153     0.070  0.006  0.115  0.001  0.159   0.0   0.0   0.0 0.264    0.934
 35.0 17.57157  0.054389 -0.194856  0.264342 0.332872     0.000  0.000  0.043  0.002  0.000   0.0   0.0   0.0 0.112     0.002  0.000  0.326  0.057  0.017   0.0   0.0   0.0 0.338    0.941
 36.0 17.99076 -0.004365 -0.129189  0.179546 0.221237     0.000  0.012  0.011  0.000  0.040   0.0   0.0   0.0 0.040     0.006  0.025  0.068  0.000  0.112   0.0   0.0   0.0 0.299    0.643
 37.0 17.63297 -0.003501  0.096472  0.152067 0.180120     0.026  0.005  0.029  0.000  0.032   0.0   0.0   0.0 0.053     0.146  0.056  0.109  0.007  0.153   0.0   0.0   0.0 0.269    0.906
