   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 14.44087  0.000000  0.000000  0.000000 0.000000     0.186  0.104  0.032  0.050  0.014   0.0   0.0   0.0 0.035     0.146  0.223  0.050  0.040  0.034   0.0   0.0   0.0 0.045    0.990
  2.0 14.41367 -0.058754  0.065667 -0.084796 0.122288     0.087  0.034  0.140  0.055  0.036   0.0   0.0   0.0 0.001     0.171  0.061  0.147  0.129  0.089   0.0   0.0   0.0 0.003    0.983
  3.0 14.40949 -0.117507  0.131334 -0.169591 0.244577     0.034  0.019  0.109  0.012  0.044   0.0   0.0   0.0 0.000     0.080  0.033  0.460  0.042  0.117   0.0   0.0   0.0 0.000    0.978
  4.0 14.46264  0.176261 -0.197001  0.254387 0.366865     0.089  0.022  0.071  0.047  0.023   0.0   0.0   0.0 0.000     0.253  0.053  0.240  0.116  0.056   0.0   0.0   0.0 0.000    0.998
  5.0 14.40949  0.117507 -0.131334  0.169591 0.244577     0.034  0.019  0.109  0.012  0.044   0.0   0.0   0.0 0.000     0.080  0.033  0.460  0.042  0.117   0.0   0.0   0.0 0.000    0.978
  6.0 14.41367  0.058754 -0.065667  0.084796 0.122288     0.087  0.034  0.140  0.055  0.036   0.0   0.0   0.0 0.001     0.171  0.061  0.147  0.129  0.089   0.0   0.0   0.0 0.003    0.983
  7.0 14.44809  0.063119  0.063522 -0.094751 0.130372     0.119  0.023  0.114  0.118  0.023   0.0   0.0   0.0 0.002     0.105  0.030  0.259  0.137  0.016   0.0   0.0   0.0 0.004    0.978
  8.0 14.44548  0.004365  0.129189 -0.179546 0.221237     0.004  0.017  0.100  0.072  0.049   0.0   0.0   0.0 0.001     0.070  0.025  0.238  0.194  0.192   0.0   0.0   0.0 0.001    0.995
  9.0 14.48957 -0.054389  0.194856 -0.264342 0.332872     0.242  0.054  0.032  0.024  0.020   0.0   0.0   0.0 0.004     0.242  0.117  0.069  0.043  0.086   0.0   0.0   0.0 0.030    0.986
 10.0 14.47568  0.239380 -0.133478  0.159636 0.317180     0.012  0.010  0.118  0.125  0.082   0.0   0.0   0.0 0.000     0.019  0.003  0.166  0.227  0.212   0.0   0.0   0.0 0.000    0.998
 11.0 14.41991  0.180626 -0.067812  0.074840 0.206943     0.002  0.007  0.115  0.065  0.071   0.0   0.0   0.0 0.000     0.003  0.025  0.274  0.216  0.187   0.0   0.0   0.0 0.000    0.998
 12.0 14.42843  0.121873 -0.002145 -0.009955 0.122297     0.059  0.083  0.065  0.113  0.068   0.0   0.0   0.0 0.003     0.071  0.094  0.130  0.174  0.100   0.0   0.0   0.0 0.010    0.988
 13.0 14.48487  0.126238  0.127044 -0.189502 0.260744     0.011  0.010  0.015  0.104  0.115   0.0   0.0   0.0 0.010     0.048  0.066  0.182  0.205  0.163   0.0   0.0   0.0 0.035    0.986
 14.0 14.54049  0.067484  0.192711 -0.274297 0.341951     0.084  0.068  0.107  0.059  0.070   0.0   0.0   0.0 0.022     0.063  0.093  0.107  0.135  0.091   0.0   0.0   0.0 0.067    0.980
 15.0 14.53245  0.008730  0.258378 -0.359093 0.442474     0.143  0.054  0.049  0.037  0.032   0.0   0.0   0.0 0.001     0.255  0.120  0.136  0.065  0.059   0.0   0.0   0.0 0.022    0.990
 16.0 14.47312  0.302499 -0.069956  0.064885 0.317190     0.003  0.009  0.132  0.077  0.137   0.0   0.0   0.0 0.000     0.001  0.027  0.229  0.188  0.153   0.0   0.0   0.0 0.000    0.998
 17.0 14.41057  0.243745 -0.004289 -0.019911 0.244595     0.010  0.014  0.026  0.099  0.066   0.0   0.0   0.0 0.000     0.037  0.075  0.031  0.478  0.119   0.0   0.0   0.0 0.000    0.988
 18.0 14.44515  0.184992  0.061378 -0.104706 0.221252     0.011  0.012  0.109  0.045  0.084   0.0   0.0   0.0 0.000     0.009  0.065  0.333  0.143  0.162   0.0   0.0   0.0 0.000    0.996
 19.0 14.51184 -0.189357 -0.190567  0.284253 0.391115     0.179  0.020  0.021  0.009  0.120   0.0   0.0   0.0 0.000     0.227  0.144  0.085  0.041  0.125   0.0   0.0   0.0 0.000    0.995
 20.0 14.53805 -0.248111 -0.124900  0.199457 0.341968     0.107  0.071  0.077  0.144  0.039   0.0   0.0   0.0 0.022     0.102  0.039  0.054  0.139  0.101   0.0   0.0   0.0 0.065    0.981
 21.0 14.48690 -0.306864 -0.059233  0.114662 0.332899     0.192  0.105  0.020  0.035  0.011   0.0   0.0   0.0 0.005     0.230  0.155  0.063  0.056  0.051   0.0   0.0   0.0 0.032    0.985
