   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
 29.0 15.61507 -0.008730 -0.258378  0.359093 0.442474     0.054  0.019  0.017  0.014  0.020   0.0   0.0   0.0 0.003     0.194  0.112  0.159  0.043  0.309   0.0   0.0   0.0 0.031    0.993
 30.0 15.55814 -0.067484 -0.192711  0.274297 0.341951     0.147  0.009  0.065  0.031  0.054   0.0   0.0   0.0 0.006     0.249  0.084  0.113  0.109  0.085   0.0   0.0   0.0 0.013    0.994
 31.0 15.57490 -0.063119 -0.063522  0.094751 0.130372     0.101  0.069  0.014  0.025  0.051   0.0   0.0   0.0 0.000     0.245  0.130  0.076  0.110  0.163   0.0   0.0   0.0 0.000    0.995
 32.0 15.63289 -0.121873  0.002145  0.009955 0.122297     0.049  0.012  0.069  0.084  0.019   0.0   0.0   0.0 0.006     0.068  0.079  0.126  0.313  0.121   0.0   0.0   0.0 0.022    0.995
 33.0 15.73610 -0.180626  0.067812 -0.074840 0.206943     0.031  0.051  0.095  0.177  0.048   0.0   0.0   0.0 0.004     0.091  0.072  0.114  0.117  0.166   0.0   0.0   0.0 0.006    0.994
 34.0 15.68642  0.113142 -0.260523  0.349138 0.450078     0.059  0.051  0.100  0.039  0.052   0.0   0.0   0.0 0.010     0.141  0.113  0.093  0.086  0.186   0.0   0.0   0.0 0.034    0.987
 35.0 15.54423  0.054389 -0.194856  0.264342 0.332872     0.018  0.093  0.007  0.003  0.020   0.0   0.0   0.0 0.032     0.119  0.455  0.030  0.020  0.071   0.0   0.0   0.0 0.085    0.981
 36.0 15.63932 -0.004365 -0.129189  0.179546 0.221237     0.034  0.020  0.037  0.060  0.124   0.0   0.0   0.0 0.000     0.090  0.059  0.091  0.143  0.305   0.0   0.0   0.0 0.003    0.995
 37.0 15.63250 -0.003501  0.096472  0.152067 0.180120     0.035  0.017  0.035  0.080  0.092   0.0   0.0   0.0 0.001     0.170  0.056  0.080  0.157  0.239   0.0   0.0   0.0 0.003    0.994
 38.0 15.61238 -0.062255  0.162138  0.067271 0.186253     0.049  0.019  0.055  0.025  0.211   0.0   0.0   0.0 0.007     0.172  0.074  0.107  0.076  0.125   0.0   0.0   0.0 0.040    0.989
 39.0 15.57652 -0.121009  0.227805 -0.017524 0.258545     0.017  0.036  0.049  0.097  0.025   0.0   0.0   0.0 0.007     0.133  0.123  0.125  0.196  0.147   0.0   0.0   0.0 0.024    0.993
 40.0 15.53130  0.172760 -0.100529  0.406453 0.452942     0.026  0.025  0.038  0.013  0.032   0.0   0.0   0.0 0.053     0.313  0.090  0.054  0.080  0.122   0.0   0.0   0.0 0.089    0.953
 41.0 15.60270  0.114006 -0.034862  0.321658 0.343040     0.006  0.014  0.006  0.041  0.126   0.0   0.0   0.0 0.000     0.037  0.102  0.034  0.060  0.535   0.0   0.0   0.0 0.000    0.996
 42.0 15.69437  0.055252  0.030805  0.236862 0.245164     0.061  0.093  0.031  0.041  0.075   0.0   0.0   0.0 0.008     0.163  0.068  0.054  0.078  0.291   0.0   0.0   0.0 0.005    0.988
 43.0 15.63547  0.059618  0.159994  0.057316 0.180104     0.043  0.012  0.014  0.030  0.140   0.0   0.0   0.0 0.003     0.174  0.081  0.069  0.151  0.241   0.0   0.0   0.0 0.003    0.993
 44.0 15.55022  0.000864  0.225661 -0.027480 0.227329     0.026  0.021  0.030  0.075  0.048   0.0   0.0   0.0 0.001     0.141  0.101  0.139  0.229  0.152   0.0   0.0   0.0 0.008    0.994
 45.0 15.58666 -0.057890  0.291328 -0.112275 0.317535     0.023  0.059  0.034  0.037  0.051   0.0   0.0   0.0 0.002     0.115  0.177  0.083  0.210  0.162   0.0   0.0   0.0 0.002    0.986
 46.0 15.56034  0.235879 -0.037007  0.311703 0.392641     0.044  0.067  0.025  0.036  0.046   0.0   0.0   0.0 0.001     0.331  0.108  0.049  0.183  0.074   0.0   0.0   0.0 0.002    0.989
 47.0 15.70362  0.177125  0.028660  0.226907 0.289277     0.053  0.018  0.042  0.171  0.061   0.0   0.0   0.0 0.003     0.116  0.080  0.059  0.201  0.155   0.0   0.0   0.0 0.005    0.992
