   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 13.62892  0.000000  0.000000  0.000000 0.000000     0.128  0.065  0.054  0.086  0.001   0.0   0.0   0.0 0.001     0.246  0.150  0.107  0.098  0.013   0.0   0.0   0.0 0.000    0.982
  2.0 13.69885 -0.058754  0.065667 -0.084796 0.122288     0.125  0.001  0.055  0.012  0.025   0.0   0.0   0.0 0.000     0.410  0.002  0.171  0.035  0.130   0.0   0.0   0.0 0.000    0.992
  3.0 13.78130 -0.117507  0.131334 -0.169591 0.244577     0.015  0.001  0.089  0.105  0.018   0.0   0.0   0.0 0.022     0.037  0.002  0.276  0.282  0.038   0.0   0.0   0.0 0.072    0.987
  4.0 13.76043  0.176261 -0.197001  0.254387 0.366865     0.083  0.050  0.068  0.133  0.009   0.0   0.0   0.0 0.000     0.134  0.073  0.156  0.255  0.007   0.0   0.0   0.0 0.000    0.994
  5.0 13.78130  0.117507 -0.131334  0.169591 0.244577     0.015  0.001  0.089  0.105  0.018   0.0   0.0   0.0 0.022     0.037  0.002  0.276  0.282  0.038   0.0   0.0   0.0 0.072    0.987
  6.0 13.69885  0.058754 -0.065667  0.084796 0.122288     0.125  0.001  0.055  0.012  0.025   0.0   0.0   0.0 0.000     0.410  0.002  0.171  0.035  0.130   0.0   0.0   0.0 0.000    0.992
  7.0 13.76878  0.063119  0.063522 -0.094751 0.130372     0.076  0.025  0.036  0.144  0.038   0.0   0.0   0.0 0.001     0.196  0.103  0.095  0.138  0.108   0.0   0.0   0.0 0.000    0.985
  8.0 13.79012  0.004365  0.129189 -0.179546 0.221237     0.156  0.006  0.113  0.001  0.000   0.0   0.0   0.0 0.002     0.359  0.004  0.266  0.002  0.000   0.0   0.0   0.0 0.000    0.978
  9.0 13.77730 -0.054389  0.194856 -0.264342 0.332872     0.201  0.019  0.033  0.003  0.008   0.0   0.0   0.0 0.003     0.475  0.053  0.103  0.022  0.031   0.0   0.0   0.0 0.011    0.997
 10.0 13.75334  0.239380 -0.133478  0.159636 0.317180     0.031  0.002  0.032  0.006  0.181   0.0   0.0   0.0 0.004     0.098  0.008  0.076  0.019  0.486   0.0   0.0   0.0 0.005    0.990
 11.0 13.74217  0.180626 -0.067812  0.074840 0.206943     0.047  0.031  0.051  0.056  0.011   0.0   0.0   0.0 0.000     0.215  0.175  0.147  0.220  0.010   0.0   0.0   0.0 0.000    0.991
 12.0 13.69889  0.121873 -0.002145 -0.009955 0.122297     0.041  0.075  0.005  0.007  0.085   0.0   0.0   0.0 0.000     0.163  0.245  0.037  0.005  0.309   0.0   0.0   0.0 0.000    0.992
 13.0 13.83303  0.126238  0.127044 -0.189502 0.260744     0.111  0.033  0.029  0.040  0.041   0.0   0.0   0.0 0.000     0.287  0.071  0.100  0.143  0.115   0.0   0.0   0.0 0.000    0.990
 14.0 13.80611  0.067484  0.192711 -0.274297 0.341951     0.006  0.017  0.094  0.095  0.015   0.0   0.0   0.0 0.033     0.008  0.035  0.244  0.310  0.018   0.0   0.0   0.0 0.086    0.988
 15.0 13.77752  0.008730  0.258378 -0.359093 0.442474     0.203  0.104  0.009  0.000  0.007   0.0   0.0   0.0 0.017     0.320  0.241  0.011  0.001  0.008   0.0   0.0   0.0 0.035    0.986
 16.0 13.75340  0.302499 -0.069956  0.064885 0.317190     0.000  0.029  0.069  0.023  0.151   0.0   0.0   0.0 0.003     0.001  0.105  0.152  0.060  0.358   0.0   0.0   0.0 0.005    0.990
 17.0 13.77105  0.243745 -0.004289 -0.019911 0.244595     0.015  0.000  0.028  0.000  0.194   0.0   0.0   0.0 0.029     0.047  0.003  0.068  0.002  0.501   0.0   0.0   0.0 0.073    0.987
 18.0 13.78927  0.184992  0.061378 -0.104706 0.221252     0.072  0.095  0.008  0.057  0.051   0.0   0.0   0.0 0.000     0.159  0.223  0.020  0.147  0.115   0.0   0.0   0.0 0.000    0.978
 19.0 13.84321 -0.189357 -0.190567  0.284253 0.391115     0.059  0.059  0.034  0.011  0.025   0.0   0.0   0.0 0.000     0.293  0.182  0.155  0.030  0.130   0.0   0.0   0.0 0.000    0.995
 20.0 13.80484 -0.248111 -0.124900  0.199457 0.341968     0.025  0.007  0.026  0.164  0.000   0.0   0.0   0.0 0.032     0.036  0.031  0.109  0.448  0.000   0.0   0.0   0.0 0.086    0.988
 21.0 13.77768 -0.306864 -0.059233  0.114662 0.332899     0.012  0.223  0.004  0.001  0.050   0.0   0.0   0.0 0.002     0.023  0.485  0.002  0.001  0.146   0.0   0.0   0.0 0.006    0.997
 22.0 13.75999 -0.013096 -0.387567  0.538639 0.663711     0.008  0.041  0.071  0.066  0.005   0.0   0.0   0.0 0.000     0.028  0.149  0.283  0.283  0.033   0.0   0.0   0.0 0.001    0.997
 23.0 13.77768 -0.071849 -0.321900  0.453844 0.561032     0.012  0.223  0.004  0.001  0.050   0.0   0.0   0.0 0.002     0.023  0.485  0.002  0.001  0.146   0.0   0.0   0.0 0.006    0.997
 24.0 13.80484 -0.130603 -0.256234  0.369048 0.467878     0.025  0.007  0.026  0.164  0.000   0.0   0.0   0.0 0.032     0.036  0.031  0.109  0.448  0.000   0.0   0.0   0.0 0.086    0.988
 25.0 13.83303 -0.126238 -0.127044  0.189502 0.260744     0.111  0.033  0.029  0.040  0.041   0.0   0.0   0.0 0.000     0.287  0.071  0.100  0.143  0.115   0.0   0.0   0.0 0.000    0.990
 26.0 13.78927 -0.184992 -0.061378  0.104706 0.221252     0.072  0.095  0.008  0.057  0.051   0.0   0.0   0.0 0.000     0.159  0.223  0.020  0.147  0.115   0.0   0.0   0.0 0.000    0.978
 27.0 13.77105 -0.243745  0.004289  0.019911 0.244595     0.015  0.000  0.028  0.000  0.194   0.0   0.0   0.0 0.029     0.047  0.003  0.068  0.002  0.501   0.0   0.0   0.0 0.073    0.987
 28.0 13.75340  0.050023 -0.324045  0.443889 0.551856     0.000  0.029  0.069  0.023  0.151   0.0   0.0   0.0 0.003     0.001  0.105  0.152  0.060  0.358   0.0   0.0   0.0 0.005    0.990
 29.0 13.77752 -0.008730 -0.258378  0.359093 0.442474     0.203  0.104  0.009  0.000  0.007   0.0   0.0   0.0 0.017     0.320  0.241  0.011  0.001  0.008   0.0   0.0   0.0 0.035    0.986
 30.0 13.80611 -0.067484 -0.192711  0.274297 0.341951     0.006  0.017  0.094  0.095  0.015   0.0   0.0   0.0 0.033     0.008  0.035  0.244  0.310  0.018   0.0   0.0   0.0 0.086    0.988
 31.0 13.76878 -0.063119 -0.063522  0.094751 0.130372     0.076  0.025  0.036  0.144  0.038   0.0   0.0   0.0 0.001     0.196  0.103  0.095  0.138  0.108   0.0   0.0   0.0 0.000    0.985
 32.0 13.69889 -0.121873  0.002145  0.009955 0.122297     0.041  0.075  0.005  0.007  0.085   0.0   0.0   0.0 0.000     0.163  0.245  0.037  0.005  0.309   0.0   0.0   0.0 0.000    0.992
 33.0 13.74217 -0.180626  0.067812 -0.074840 0.206943     0.047  0.031  0.051  0.056  0.011   0.0   0.0   0.0 0.000     0.215  0.175  0.147  0.220  0.010   0.0   0.0   0.0 0.000    0.991
 34.0 13.75334  0.113142 -0.260523  0.349138 0.450078     0.031  0.002  0.032  0.006  0.181   0.0   0.0   0.0 0.004     0.098  0.008  0.076  0.019  0.486   0.0   0.0   0.0 0.005    0.990
 35.0 13.77730  0.054389 -0.194856  0.264342 0.332872     0.201  0.019  0.033  0.003  0.008   0.0   0.0   0.0 0.003     0.475  0.053  0.103  0.022  0.031   0.0   0.0   0.0 0.011    0.997
 36.0 13.79012 -0.004365 -0.129189  0.179546 0.221237     0.156  0.006  0.113  0.001  0.000   0.0   0.0   0.0 0.002     0.359  0.004  0.266  0.002  0.000   0.0   0.0   0.0 0.000    0.978
 37.0 13.69001 -0.003501  0.096472  0.152067 0.180120     0.089  0.018  0.042  0.163  0.000   0.0   0.0   0.0 0.000     0.214  0.053  0.067  0.320  0.000   0.0   0.0   0.0 0.000    0.989
 38.0 13.60452 -0.062255  0.162138  0.067271 0.186253     0.042  0.016  0.083  0.112  0.020   0.0   0.0   0.0 0.026     0.113  0.130  0.181  0.168  0.065   0.0   0.0   0.0 0.017    0.991
 39.0 13.65456 -0.121009  0.227805 -0.017524 0.258545     0.025  0.042  0.055  0.115  0.034   0.0   0.0   0.0 0.014     0.077  0.102  0.144  0.257  0.102   0.0   0.0   0.0 0.008    0.987
 40.0 13.76432  0.172760 -0.100529  0.406453 0.452942     0.056  0.027  0.057  0.036  0.078   0.0   0.0   0.0 0.018     0.123  0.063  0.141  0.176  0.161   0.0   0.0   0.0 0.033    0.988
 41.0 13.79443  0.114006 -0.034862  0.321658 0.343040     0.015  0.048  0.062  0.015  0.091   0.0   0.0   0.0 0.003     0.057  0.179  0.158  0.040  0.284   0.0   0.0   0.0 0.005    0.983
 42.0 13.76647  0.055252  0.030805  0.236862 0.245164     0.160  0.000  0.041  0.090  0.000   0.0   0.0   0.0 0.000     0.301  0.000  0.103  0.277  0.000   0.0   0.0   0.0 0.000    0.994
 43.0 13.68838  0.059618  0.159994  0.057316 0.180104     0.072  0.045  0.083  0.101  0.005   0.0   0.0   0.0 0.000     0.157  0.124  0.175  0.188  0.009   0.0   0.0   0.0 0.000    0.989
 44.0 13.73343  0.000864  0.225661 -0.027480 0.227329     0.049  0.070  0.016  0.041  0.055   0.0   0.0   0.0 0.002     0.071  0.141  0.027  0.171  0.312   0.0   0.0   0.0 0.000    0.988
 45.0 13.78823 -0.057890  0.291328 -0.112275 0.317535     0.020  0.085  0.009  0.152  0.014   0.0   0.0   0.0 0.001     0.068  0.204  0.035  0.346  0.039   0.0   0.0   0.0 0.000    0.991
 46.0 13.88370  0.235879 -0.037007  0.311703 0.392641     0.061  0.017  0.054  0.004  0.096   0.0   0.0   0.0 0.002     0.150  0.134  0.066  0.000  0.375   0.0   0.0   0.0 0.000    0.989
 47.0 13.81505  0.177125  0.028660  0.226907 0.289277     0.027  0.032  0.069  0.010  0.059   0.0   0.0   0.0 0.000     0.173  0.085  0.151  0.026  0.334   0.0   0.0   0.0 0.000    0.993
 48.0 13.73589  0.118371  0.094327  0.142111 0.207617     0.012  0.022  0.031  0.057  0.089   0.0   0.0   0.0 0.000     0.039  0.047  0.120  0.209  0.351   0.0   0.0   0.0 0.000    0.991
 49.0 13.73497  0.122736  0.223516 -0.037435 0.257731     0.033  0.016  0.050  0.090  0.041   0.0   0.0   0.0 0.000     0.073  0.071  0.204  0.322  0.088   0.0   0.0   0.0 0.000    0.998
 50.0 13.83489  0.063983  0.289183 -0.122231 0.320407     0.009  0.125  0.093  0.007  0.012   0.0   0.0   0.0 0.014     0.022  0.295  0.271  0.073  0.021   0.0   0.0   0.0 0.016    0.992
 51.0 13.88775  0.005229  0.354850 -0.207026 0.410860     0.046  0.135  0.033  0.039  0.050   0.0   0.0   0.0 0.000     0.087  0.320  0.118  0.046  0.115   0.0   0.0   0.0 0.000    0.994
 52.0 13.82908  0.298998  0.026515  0.216952 0.370366     0.003  0.007  0.067  0.034  0.240   0.0   0.0   0.0 0.000     0.002  0.006  0.129  0.055  0.425   0.0   0.0   0.0 0.000    0.993
 53.0 13.81852  0.240244  0.092182  0.132156 0.289275     0.035  0.014  0.019  0.006  0.157   0.0   0.0   0.0 0.000     0.200  0.112  0.090  0.025  0.310   0.0   0.0   0.0 0.000    0.993
 54.0 13.76580  0.181490  0.157849  0.047361 0.245149     0.039  0.129  0.041  0.083  0.000   0.0   0.0   0.0 0.000     0.085  0.249  0.139  0.215  0.000   0.0   0.0   0.0 0.000    0.994
 55.0 13.77981 -0.192858 -0.094095  0.436319 0.486233     0.014  0.094  0.088  0.021  0.071   0.0   0.0   0.0 0.006     0.029  0.179  0.204  0.083  0.175   0.0   0.0   0.0 0.004    0.991
 56.0 13.87794 -0.251612 -0.028428  0.351524 0.433227     0.220  0.081  0.025  0.006  0.010   0.0   0.0   0.0 0.000     0.363  0.156  0.044  0.038  0.022   0.0   0.0   0.0 0.000    0.989
 57.0 13.88994 -0.310366  0.037239  0.266728 0.410923     0.193  0.000  0.001  0.004  0.094   0.0   0.0   0.0 0.000     0.437  0.000  0.013  0.000  0.225   0.0   0.0   0.0 0.000    0.994
 58.0 13.88358 -0.016597 -0.291096  0.690706 0.749725     0.037  0.053  0.050  0.002  0.100   0.0   0.0   0.0 0.001     0.250  0.059  0.201  0.044  0.172   0.0   0.0   0.0 0.003    0.989
 59.0 13.79419 -0.075351 -0.225429  0.605911 0.650864     0.063  0.011  0.023  0.000  0.142   0.0   0.0   0.0 0.002     0.213  0.004  0.077  0.003  0.398   0.0   0.0   0.0 0.002    0.983
 60.0 13.76845 -0.134104 -0.159762  0.521115 0.561310     0.042  0.215  0.003  0.001  0.000   0.0   0.0   0.0 0.014     0.112  0.536  0.001  0.000  0.000   0.0   0.0   0.0 0.033    0.995
 61.0 13.78157 -0.129739 -0.030573  0.341569 0.366655     0.056  0.049  0.084  0.048  0.069   0.0   0.0   0.0 0.009     0.131  0.068  0.125  0.240  0.089   0.0   0.0   0.0 0.005    0.990
 62.0 13.83517 -0.188493  0.035094  0.256773 0.320458     0.071  0.062  0.017  0.042  0.050   0.0   0.0   0.0 0.015     0.188  0.145  0.090  0.185  0.091   0.0   0.0   0.0 0.016    0.992
 63.0 13.78551 -0.247247  0.100761  0.171977 0.317585     0.101  0.000  0.038  0.040  0.103   0.0   0.0   0.0 0.000     0.248  0.000  0.107  0.112  0.228   0.0   0.0   0.0 0.000    0.990
 64.0 13.76423  0.046522 -0.227573  0.595955 0.639622     0.063  0.025  0.065  0.044  0.064   0.0   0.0   0.0 0.022     0.124  0.079  0.175  0.112  0.157   0.0   0.0   0.0 0.035    0.988
 65.0 13.66911 -0.012232 -0.161907  0.511160 0.536328     0.026  0.013  0.041  0.071  0.119   0.0   0.0   0.0 0.011     0.074  0.039  0.083  0.162  0.297   0.0   0.0   0.0 0.022    0.981
 66.0 13.75704 -0.070986 -0.096240  0.426364 0.442818     0.105  0.028  0.059  0.072  0.026   0.0   0.0   0.0 0.004     0.159  0.054  0.176  0.134  0.123   0.0   0.0   0.0 0.034    0.983
 67.0 13.73433 -0.066620  0.032949  0.246818 0.257765     0.028  0.026  0.131  0.037  0.006   0.0   0.0   0.0 0.000     0.123  0.028  0.389  0.186  0.027   0.0   0.0   0.0 0.000    0.998
 68.0 13.73258 -0.125374  0.098616  0.162022 0.227365     0.084  0.042  0.044  0.028  0.026   0.0   0.0   0.0 0.000     0.203  0.110  0.056  0.234  0.126   0.0   0.0   0.0 0.001    0.989
 69.0 13.65471 -0.184128  0.164283  0.077227 0.258565     0.028  0.010  0.019  0.019  0.203   0.0   0.0   0.0 0.007     0.082  0.023  0.031  0.022  0.509   0.0   0.0   0.0 0.004    0.986
 70.0 13.65767  0.109641 -0.164051  0.501204 0.538646     0.070  0.075  0.025  0.020  0.030   0.0   0.0   0.0 0.023     0.160  0.299  0.051  0.056  0.132   0.0   0.0   0.0 0.017    0.985
 71.0 13.66859  0.050887 -0.098384  0.416409 0.430889     0.004  0.016  0.003  0.206  0.038   0.0   0.0   0.0 0.011     0.004  0.046  0.014  0.486  0.086   0.0   0.0   0.0 0.021    0.981
 72.0 13.77031 -0.007867 -0.032717  0.331613 0.333316     0.084  0.169  0.001  0.007  0.000   0.0   0.0   0.0 0.016     0.227  0.417  0.001  0.005  0.000   0.0   0.0   0.0 0.031    0.995
 73.0 13.71288 -0.007003  0.192943  0.304134 0.360241     0.059  0.025  0.021  0.068  0.163   0.0   0.0   0.0 0.002     0.072  0.090  0.026  0.197  0.242   0.0   0.0   0.0 0.004    0.988
