   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 13.77146  0.000000  0.000000  0.000000 0.000000     0.217  0.091  0.051  0.009  0.182   0.0   0.0   0.0 0.000     0.120  0.077  0.073  0.024  0.120   0.0   0.0   0.0 0.000    0.992
  2.0 13.83880 -0.058754  0.065667 -0.084796 0.122288     0.052  0.058  0.025  0.007  0.148   0.0   0.0   0.0 0.000     0.161  0.138  0.061  0.012  0.301   0.0   0.0   0.0 0.000    0.993
  3.0 13.89053 -0.117507  0.131334 -0.169591 0.244577     0.018  0.039  0.027  0.001  0.262   0.0   0.0   0.0 0.000     0.016  0.088  0.040  0.000  0.468   0.0   0.0   0.0 0.000    0.992
  4.0 13.88611  0.176261 -0.197001  0.254387 0.366865     0.000  0.004  0.020  0.000  0.381   0.0   0.0   0.0 0.000     0.000  0.002  0.037  0.001  0.504   0.0   0.0   0.0 0.000    0.992
  5.0 13.89053  0.117507 -0.131334  0.169591 0.244577     0.018  0.039  0.027  0.001  0.262   0.0   0.0   0.0 0.000     0.016  0.088  0.040  0.000  0.468   0.0   0.0   0.0 0.000    0.992
  6.0 13.83880  0.058754 -0.065667  0.084796 0.122288     0.052  0.058  0.025  0.007  0.148   0.0   0.0   0.0 0.000     0.161  0.138  0.061  0.012  0.301   0.0   0.0   0.0 0.000    0.993
  7.0 13.80896  0.063119  0.063522 -0.094751 0.130372     0.058  0.044  0.063  0.089  0.012   0.0   0.0   0.0 0.012     0.135  0.064  0.166  0.237  0.059   0.0   0.0   0.0 0.033    0.986
  8.0 13.87540  0.004365  0.129189 -0.179546 0.221237     0.000  0.005  0.000  0.005  0.291   0.0   0.0   0.0 0.000     0.001  0.029  0.000  0.003  0.612   0.0   0.0   0.0 0.000    0.994
  9.0 13.88560 -0.054389  0.194856 -0.264342 0.332872     0.022  0.077  0.036  0.145  0.004   0.0   0.0   0.0 0.000     0.071  0.171  0.087  0.360  0.001   0.0   0.0   0.0 0.000    0.996
 10.0 13.90212  0.239380 -0.133478  0.159636 0.317180     0.153  0.000  0.038  0.104  0.000   0.0   0.0   0.0 0.000     0.269  0.000  0.134  0.282  0.000   0.0   0.0   0.0 0.000    0.995
 11.0 13.90774  0.180626 -0.067812  0.074840 0.206943     0.088  0.192  0.003  0.001  0.005   0.0   0.0   0.0 0.028     0.226  0.281  0.004  0.001  0.006   0.0   0.0   0.0 0.117    0.987
 12.0 13.83929  0.121873 -0.002145 -0.009955 0.122297     0.096  0.081  0.054  0.013  0.081   0.0   0.0   0.0 0.000     0.187  0.136  0.105  0.015  0.194   0.0   0.0   0.0 0.000    0.993
 13.0 13.89341  0.126238  0.127044 -0.189502 0.260744     0.080  0.135  0.026  0.000  0.053   0.0   0.0   0.0 0.000     0.161  0.299  0.062  0.007  0.151   0.0   0.0   0.0 0.000    0.995
 14.0 13.90620  0.067484  0.192711 -0.274297 0.341951     0.083  0.185  0.009  0.019  0.008   0.0   0.0   0.0 0.000     0.180  0.433  0.009  0.023  0.012   0.0   0.0   0.0 0.000    0.998
 15.0 13.90012  0.008730  0.258378 -0.359093 0.442474     0.010  0.018  0.077  0.138  0.062   0.0   0.0   0.0 0.000     0.014  0.024  0.178  0.278  0.147   0.0   0.0   0.0 0.000    0.987
 16.0 13.90147  0.302499 -0.069956  0.064885 0.317190     0.043  0.118  0.049  0.083  0.000   0.0   0.0   0.0 0.000     0.081  0.210  0.169  0.228  0.000   0.0   0.0   0.0 0.000    0.995
 17.0 13.88582  0.243745 -0.004289 -0.019911 0.244595     0.057  0.000  0.137  0.027  0.111   0.0   0.0   0.0 0.001     0.098  0.034  0.226  0.101  0.172   0.0   0.0   0.0 0.002    0.992
 18.0 13.87482  0.184992  0.061378 -0.104706 0.221252     0.007  0.001  0.099  0.093  0.097   0.0   0.0   0.0 0.000     0.015  0.000  0.215  0.234  0.209   0.0   0.0   0.0 0.000    0.995
 19.0 14.02679 -0.189357 -0.190567  0.284253 0.391115     0.026  0.007  0.045  0.016  0.034   0.0   0.0   0.0 0.000     0.094  0.024  0.355  0.327  0.049   0.0   0.0   0.0 0.000    0.999
 20.0 13.91067 -0.248111 -0.124900  0.199457 0.341968     0.060  0.223  0.037  0.003  0.000   0.0   0.0   0.0 0.000     0.167  0.378  0.083  0.012  0.003   0.0   0.0   0.0 0.000    0.997
 21.0 13.88385 -0.306864 -0.059233  0.114662 0.332899     0.091  0.000  0.060  0.113  0.016   0.0   0.0   0.0 0.000     0.219  0.000  0.167  0.289  0.029   0.0   0.0   0.0 0.000    0.996
 22.0 13.88436 -0.013096 -0.387567  0.538639 0.663711     0.009  0.004  0.170  0.041  0.167   0.0   0.0   0.0 0.000     0.011  0.001  0.243  0.074  0.237   0.0   0.0   0.0 0.000    0.992
 23.0 13.88385 -0.071849 -0.321900  0.453844 0.561032     0.091  0.000  0.060  0.113  0.016   0.0   0.0   0.0 0.000     0.219  0.000  0.167  0.289  0.029   0.0   0.0   0.0 0.000    0.996
 24.0 13.91067 -0.130603 -0.256234  0.369048 0.467878     0.060  0.223  0.037  0.003  0.000   0.0   0.0   0.0 0.000     0.167  0.378  0.083  0.012  0.003   0.0   0.0   0.0 0.000    0.997
 25.0 13.89341 -0.126238 -0.127044  0.189502 0.260744     0.080  0.135  0.026  0.000  0.053   0.0   0.0   0.0 0.000     0.161  0.299  0.062  0.007  0.151   0.0   0.0   0.0 0.000    0.995
 26.0 13.87482 -0.184992 -0.061378  0.104706 0.221252     0.007  0.001  0.099  0.093  0.097   0.0   0.0   0.0 0.000     0.015  0.000  0.215  0.234  0.209   0.0   0.0   0.0 0.000    0.995
 27.0 13.88582 -0.243745  0.004289  0.019911 0.244595     0.057  0.000  0.137  0.027  0.111   0.0   0.0   0.0 0.001     0.098  0.034  0.226  0.101  0.172   0.0   0.0   0.0 0.002    0.992
 28.0 13.90147  0.050023 -0.324045  0.443889 0.551856     0.043  0.118  0.049  0.083  0.000   0.0   0.0   0.0 0.000     0.081  0.210  0.169  0.228  0.000   0.0   0.0   0.0 0.000    0.995
 29.0 13.90012 -0.008730 -0.258378  0.359093 0.442474     0.010  0.018  0.077  0.138  0.062   0.0   0.0   0.0 0.000     0.014  0.024  0.178  0.278  0.147   0.0   0.0   0.0 0.000    0.987
