   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 18.21324 -0.058754  0.065667 -0.084796 0.122288     0.003  0.029  0.006  0.006  0.005   0.0   0.0   0.0 0.078     0.021  0.130  0.078  0.086  0.047   0.0   0.0   0.0 0.406    0.915
  2.0 17.95730 -0.117507  0.131334 -0.169591 0.244577     0.021  0.007  0.029  0.000  0.034   0.0   0.0   0.0 0.092     0.107  0.022  0.129  0.000  0.168   0.0   0.0   0.0 0.317    0.949
  3.0 17.91463  0.176261 -0.197001  0.254387 0.366865     0.020  0.000  0.004  0.014  0.072   0.0   0.0   0.0 0.127     0.032  0.003  0.021  0.045  0.200   0.0   0.0   0.0 0.325    0.895
  4.0 17.95730  0.117507 -0.131334  0.169591 0.244577     0.021  0.007  0.029  0.000  0.034   0.0   0.0   0.0 0.092     0.107  0.022  0.129  0.000  0.168   0.0   0.0   0.0 0.317    0.949
  5.0 18.21324  0.058754 -0.065667  0.084796 0.122288     0.003  0.029  0.006  0.006  0.005   0.0   0.0   0.0 0.078     0.021  0.130  0.078  0.086  0.047   0.0   0.0   0.0 0.406    0.915
  6.0 18.31626  0.063119  0.063522 -0.094751 0.130372     0.015  0.041  0.008  0.000  0.009   0.0   0.0   0.0 0.089     0.073  0.176  0.029  0.001  0.033   0.0   0.0   0.0 0.414    0.913
  7.0 18.27469  0.004365  0.129189 -0.179546 0.221237     0.002  0.002  0.032  0.010  0.003   0.0   0.0   0.0 0.115     0.014  0.008  0.204  0.063  0.012   0.0   0.0   0.0 0.399    0.903
  8.0 17.94723 -0.054389  0.194856 -0.264342 0.332872     0.000  0.010  0.015  0.000  0.007   0.0   0.0   0.0 0.099     0.003  0.064  0.087  0.002  0.153   0.0   0.0   0.0 0.291    0.765
  9.0 17.97426  0.239380 -0.133478  0.159636 0.317180     0.039  0.016  0.002  0.000  0.002   0.0   0.0   0.0 0.116     0.185  0.063  0.023  0.008  0.045   0.0   0.0   0.0 0.389    0.921
 10.0 18.00977  0.180626 -0.067812  0.074840 0.206943     0.025  0.056  0.000  0.000  0.004   0.0   0.0   0.0 0.075     0.122  0.167  0.025  0.000  0.034   0.0   0.0   0.0 0.406    0.939
 11.0 18.22422  0.121873 -0.002145 -0.009955 0.122297     0.014  0.010  0.010  0.007  0.001   0.0   0.0   0.0 0.069     0.097  0.032  0.076  0.121  0.020   0.0   0.0   0.0 0.421    0.908
 12.0 18.34983  0.126238  0.127044 -0.189502 0.260744     0.016  0.001  0.017  0.000  0.011   0.0   0.0   0.0 0.104     0.037  0.010  0.046  0.000  0.067   0.0   0.0   0.0 0.228    0.582
 13.0 18.18371  0.067484  0.192711 -0.274297 0.341951     0.004  0.001  0.030  0.009  0.009   0.0   0.0   0.0 0.099     0.061  0.019  0.109  0.058  0.094   0.0   0.0   0.0 0.350    0.863
 14.0 17.99646  0.008730  0.258378 -0.359093 0.442474     0.004  0.001  0.012  0.008  0.009   0.0   0.0   0.0 0.159     0.022  0.019  0.144  0.050  0.090   0.0   0.0   0.0 0.337    0.883
 15.0 17.97483  0.302499 -0.069956  0.064885 0.317190     0.000  0.060  0.001  0.003  0.004   0.0   0.0   0.0 0.104     0.001  0.242  0.010  0.008  0.048   0.0   0.0   0.0 0.402    0.925
 16.0 17.96073  0.243745 -0.004289 -0.019911 0.244595     0.013  0.021  0.020  0.000  0.025   0.0   0.0   0.0 0.064     0.069  0.064  0.120  0.010  0.157   0.0   0.0   0.0 0.355    0.931
 17.0 18.28234  0.184992  0.061378 -0.104706 0.221252     0.000  0.000  0.012  0.030  0.003   0.0   0.0   0.0 0.133     0.001  0.005  0.043  0.224  0.028   0.0   0.0   0.0 0.382    0.893
 18.0 18.42919 -0.189357 -0.190567  0.284253 0.391115     0.027  0.011  0.031  0.000  0.024   0.0   0.0   0.0 0.157     0.056  0.024  0.070  0.000  0.078   0.0   0.0   0.0 0.260    0.759
 19.0 18.19606 -0.248111 -0.124900  0.199457 0.341968     0.008  0.002  0.017  0.000  0.028   0.0   0.0   0.0 0.144     0.051  0.034  0.087  0.000  0.141   0.0   0.0   0.0 0.313    0.858
