   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
  1.0 14.25804  0.000000  0.000000  0.000000 0.000000     0.005  0.017  0.136  0.049  0.064   0.0   0.0   0.0 0.031     0.020  0.047  0.284  0.137  0.122   0.0   0.0   0.0 0.044    0.983
  2.0 14.26688 -0.058754  0.065667 -0.084796 0.122288     0.026  0.182  0.062  0.025  0.005   0.0   0.0   0.0 0.000     0.039  0.408  0.150  0.073  0.004   0.0   0.0   0.0 0.000    0.999
  3.0 14.21835 -0.117507  0.131334 -0.169591 0.244577     0.042  0.139  0.092  0.035  0.025   0.0   0.0   0.0 0.014     0.045  0.261  0.153  0.071  0.048   0.0   0.0   0.0 0.044    0.990
  4.0 14.15757  0.176261 -0.197001  0.254387 0.366865     0.027  0.040  0.198  0.030  0.029   0.0   0.0   0.0 0.002     0.120  0.116  0.185  0.115  0.081   0.0   0.0   0.0 0.014    0.988
  5.0 14.21835  0.117507 -0.131334  0.169591 0.244577     0.042  0.139  0.092  0.035  0.025   0.0   0.0   0.0 0.014     0.045  0.261  0.153  0.071  0.048   0.0   0.0   0.0 0.044    0.990
  6.0 14.26688  0.058754 -0.065667  0.084796 0.122288     0.026  0.182  0.062  0.025  0.005   0.0   0.0   0.0 0.000     0.039  0.408  0.150  0.073  0.004   0.0   0.0   0.0 0.000    0.999
  7.0 14.24663  0.063119  0.063522 -0.094751 0.130372     0.028  0.020  0.071  0.217  0.032   0.0   0.0   0.0 0.000     0.059  0.058  0.113  0.325  0.060   0.0   0.0   0.0 0.000    0.999
  8.0 14.24914  0.004365  0.129189 -0.179546 0.221237     0.004  0.080  0.078  0.193  0.018   0.0   0.0   0.0 0.000     0.000  0.151  0.156  0.240  0.056   0.0   0.0   0.0 0.000    0.999
  9.0 14.18691 -0.054389  0.194856 -0.264342 0.332872     0.010  0.058  0.006  0.203  0.044   0.0   0.0   0.0 0.000     0.021  0.104  0.049  0.381  0.104   0.0   0.0   0.0 0.000    0.998
 10.0 14.15628  0.239380 -0.133478  0.159636 0.317180     0.004  0.016  0.234  0.010  0.035   0.0   0.0   0.0 0.000     0.022  0.030  0.524  0.042  0.021   0.0   0.0   0.0 0.000    0.976
