energy_1,AgDx2-y2,AgDxy,AgDxz,AgDyz,AgDz2,AgPx,AgPy,AgPz,AgS,AuDx2-y2,AuDxy,AuDxz,AuDyz,AuDz2,AuPx,AuPy,AuPz,AuS
0.0,54.32972027069978,50.60687980619737,58.47805244830795,58.12231105600041,54.06927712633905,0.0,0.0,0.0,55.273147627347846,52.846924836755,49.9763197590231,53.123260538012836,53.93138852357029,54.56599599883321,0.0,0.0,0.0,57.150015100864714
0.0070007000700070005,55.76949288321134,51.49798742036708,60.78713615075122,60.57039107156662,55.88105242335536,0.0,0.0,0.0,57.35253489317928,54.33922748860883,51.076105721569725,55.352993929129745,56.22336447539481,56.4777880026382,0.0,0.0,0.0,59.24308457520179
0.014001400140014001,57.16449248513469,52.388964452026336,63.024011402922284,62.93769721039358,57.630518122844876,0.0,0.0,0.0,59.34952768977141,55.79071175546837,52.172494077887215,57.51815387957659,58.44084129678574,58.32903708585631,0.0,0.0,0.0,61.273979585501756
0.021002100210021003,58.503081847796494,53.27085262927662,65.17159190668052,65.20582384631048,59.306318185729104,0.0,0.0,0.0,61.24776069162995,57.188515972319145,53.253412716777916,59.6027775533333,60.56664838615603,60.10695563981592,0.0,0.0,0.0,63.22762856064899
0.028002800280028002,59.77440621166893,54.135054295752795,67.21348968893095,67.3571236633479,60.89780198157171,0.0,0.0,0.0,63.03178963877288,58.52046370457683,54.307132695530825,61.59155641465569,62.58429600360333,61.799405894822996,0.0,0.0,0.0,65.08965378670932
0.035003500350035,60.96861123313941,54.973523131088285,69.13432575614699,69.37502250866038,62.39521835579475,0.0,0.0,0.0,64.6873926721421,59.77530244066034,55.32250880304716,63.47011521180891,64.478266550034,63.39512809147635,0.0,0.0,0.0,66.8466395515249
0.04200420042004201,62.0770365159825,55.778933986493584,70.92002398161014,71.24431792374872,63.789894037032276,0.0,0.0,0.0,66.20185123118102,60.942920268660465,56.289200420948596,65.2252749540389,66.23429183929296,64.88395287209727,0.0,0.0,0.0,68.48638311366086
0.049004900490049005,63.092379526374735,56.54482736088454,72.55807980699927,72.95145318978493,65.0743915174275,0.0,0.0,0.0,67.56420260528995,62.01453485867088,57.197867105556426,66.84529261907966,67.8396089123888,66.25699190406779,0.0,0.0,0.0,69.99812155113466
0.056005600560056004,64.00882567796131,57.26572507236306,74.03779605562207,74.48475935954133,66.24264205124034,0.0,0.0,0.0,68.7654569787209,62.982849992428925,58.040334304370354,68.32007099971025,69.2831874780985,67.5068013353366,0.0,0.0,0.0,71.37272822539572
0.063006300630063,64.82214149139418,57.93721479759098,75.350479159152,75.83465865810462,67.29005008626054,0.0,0.0,0.0,69.79877281446439,63.842175949600424,58.80972573760125,69.64133300676602,70.5559228446823,68.62751346831676,0.0,0.0,0.0,72.60287349966377
0.07000700070007,65.52972893344295,58.556002307100876,76.48959035299129,76.99382378179084,68.21356624554906,0.0,0.0,0.0,70.65958564898557,64.58851123018815,59.50056016819042,70.80275585575838,71.65078920329245,69.61493299356161,0.0,0.0,0.0,73.6831454428175
0.077007700770077,66.13064027461827,59.11993136804293,77.450847845617,77.95728896342966,69.01172688500648,0.0,0.0,0.0,71.34568676882255,65.21958431680395,60.10881150117643,71.80006182920951,72.56294929573325,70.46659521284938,0.0,0.0,0.0,74.61012748723978
0.08400840084008401,66.6255540219718,59.62797237065987,78.23227755386583,78.72251014815885,69.68465923128194,0.0,0.0,0.0,71.85724975725398,65.73485540978821,60.631932345223525,72.6310636747824,73.28981780100355,71.18178486035282,0.0,0.0,0.0,75.38243134200275
0.09100910091009101,67.01671363882076,60.08018171961305,78.83421165265688,79.28937317728113,70.23405211731557,0.0,0.0,0.0,72.19680447501192,66.1354792548655,61.06884228930977,73.29566411423784,73.83107715502935,71.7615153539655,0.0,0.0,0.0,76.00068483854469
0.09800980098009801,67.30783181395248,60.477634881892996,79.25923584530007,79.6601504464023,70.66309334055704,0.0,0.0,0.0,72.36915961212958,66.42423128351213,61.41988315550376,73.79581034309052,74.18864592230578,72.20846952824586,0.0,0.0,0.0,76.46747575054654
0.10501050105010501,67.5039639544534,60.82233667344684,79.51208785153881,79.83940802649876,70.97637563321422,0.0,0.0,0.0,72.3812764584498,66.60540026261351,61.6867443514234,74.13540574028134,74.36660121321675,72.52690406791925,0.0,0.0,0.0,76.78725393065048
0.11201120112011201,67.61135532176847,61.11711287986445,79.59951107156135,79.83386665498544,71.17977411864833,0.0,0.0,0.0,72.24209793207538,66.6846514718155,61.872362139024304,74.32018223042942,74.37105793582245,72.72252093135751,0.0,0.0,0.0,76.96619529563188
0.11901190119011901,67.63726679189557,61.36548763469513,79.53006865968344,79.65222126692846,71.2802989011832,0.0,0.0,0.0,71.96233812870682,66.66886507223205,61.98079714478951,74.35753780430305,74.21000884027359,72.80230998683683,0.0,0.0,0.0,77.01203222655745
0.126012601260126,67.58978458889196,61.57155112331768,79.31392428573164,79.30492480161871,71.28592707164118,0.0,0.0,0.0,71.5542386696737,66.5659547859556,62.017094754617595,74.2563445708497,73.89313031917555,72.77436784744587,0.0,0.0,0.0,76.93385579732384
0.133013301330133,67.47761951619994,61.73982214997734,78.96259664196475,78.80394285452736,71.2054188880885,0.0,0.0,0.0,71.03129890212129,66.38467226836966,61.98713316821545,74.02673336137475,73.43155973816603,72.64769845843534,0.0,0.0,0.0,76.74189587913642
